# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.12500000e-02
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-02
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
2013            	1.76934835e+00	8.84674191e-01	8.84674161e-01	-2.46037748e-01	4.13788242e+00	-4.38392017e+00	4.26090129e+00	1.49037335e-08	3.78750430e-09	-4.94779708e-09	1.31360576e-09	-6.26140283e-09
2013.25         	1.76944747e+00	8.84723752e-01	8.84723722e-01	-2.47104324e-01	4.13714731e+00	-4.38425164e+00	4.26069948e+00	1.49003688e-08	3.78508824e-09	-4.94630972e-09	1.31193338e-09	-6.25824310e-09
2013.5          	1.76951465e+00	8.84757342e-01	8.84757312e-01	-2.47954767e-01	4.13656446e+00	-4.38451923e+00	4.26054185e+00	1.48971599e-08	3.78267529e-09	-4.94486789e-09	1.31024134e-09	-6.25510923e-09
2013.75         	1.76954405e+00	8.84772042e-01	8.84772012e-01	-2.48587193e-01	4.13611763e+00	-4.38470482e+00	4.26041123e+00	1.48941133e-08	3.78026848e-09	-4.94347427e-09	1.30853135e-09	-6.25200562e-09
2014            	1.76955263e+00	8.84776332e-01	8.84776302e-01	-2.49030975e-01	4.13582445e+00	-4.38485543e+00	4.26033994e+00	1.48912339e-08	3.77787015e-09	-4.94213089e-09	1.30680471e-09	-6.24893559e-09
2014.25         	1.76953413e+00	8.84767080e-01	8.84767050e-01	-2.49249271e-01	4.13570546e+00	-4.38495473e+00	4.26033009e+00	1.48885219e-08	3.77548092e-09	-4.94083804e-09	1.30506190e-09	-6.24589994e-09
2014.5          	1.76950516e+00	8.84752596e-01	8.84752566e-01	-2.49274283e-01	4.13576693e+00	-4.38504121e+00	4.26040407e+00	1.48859781e-08	3.77310178e-09	-4.93959626e-09	1.30330365e-09	-6.24289991e-09
2014.75         	1.76944195e+00	8.84720990e-01	8.84720960e-01	-2.49102841e-01	4.13595129e+00	-4.38505413e+00	4.26050271e+00	1.48836024e-08	3.77073373e-09	-4.93840589e-09	1.30153078e-09	-6.23993667e-09
2015            	1.76933283e+00	8.84666432e-01	8.84666402e-01	-2.48712183e-01	4.13625539e+00	-4.38496758e+00	4.26061149e+00	1.48813962e-08	3.76837828e-09	-4.93726765e-09	1.29974445e-09	-6.23701211e-09
2015.25         	1.76916313e+00	8.84581580e-01	8.84581551e-01	-2.48065184e-01	4.13666669e+00	-4.38473187e+00	4.26069928e+00	1.48793610e-08	3.76603751e-09	-4.93618246e-09	1.29794628e-09	-6.23412874e-09
2015.5          	1.76899135e+00	8.84495691e-01	8.84495662e-01	-2.47212659e-01	4.13729618e+00	-4.38450884e+00	4.26090251e+00	1.48774980e-08	3.76371333e-09	-4.93515111e-09	1.29613777e-09	-6.23128888e-09
2015.75         	1.76879595e+00	8.84397992e-01	8.84397962e-01	-2.46146870e-01	4.13808863e+00	-4.38423550e+00	4.26116206e+00	1.48758078e-08	3.76140710e-09	-4.93417414e-09	1.29432003e-09	-6.22849417e-09
2016            	1.76859415e+00	8.84297091e-01	8.84297062e-01	-2.44869732e-01	4.13909365e+00	-4.38396338e+00	4.26152851e+00	1.48742921e-08	3.75912037e-09	-4.93325250e-09	1.29249413e-09	-6.22574662e-09
2016.25         	1.76840255e+00	8.84201292e-01	8.84201262e-01	-2.43432762e-01	4.14030006e+00	-4.38373282e+00	4.26201644e+00	1.48729519e-08	3.75685446e-09	-4.93238678e-09	1.29066107e-09	-6.22304785e-09
2016.5          	1.76818414e+00	8.84092085e-01	8.84092055e-01	-2.41804187e-01	4.14164208e+00	-4.38344627e+00	4.26254418e+00	1.48717881e-08	3.75461062e-09	-4.93157767e-09	1.28882179e-09	-6.22039946e-09
2016.75         	1.76791677e+00	8.83958398e-01	8.83958368e-01	-2.39956168e-01	4.14308777e+00	-4.38304394e+00	4.26306586e+00	1.48707999e-08	3.75239015e-09	-4.93082519e-09	1.28697755e-09	-6.21780274e-09
2017            	1.76762806e+00	8.83814043e-01	8.83814013e-01	-2.37902042e-01	4.14469652e+00	-4.38259856e+00	4.26364754e+00	1.48699865e-08	3.75019451e-09	-4.93012945e-09	1.28512978e-09	-6.21525923e-09
2017.25         	1.76729317e+00	8.83646600e-01	8.83646570e-01	-2.35610788e-01	4.14643923e+00	-4.38205002e+00	4.26424463e+00	1.48693483e-08	3.74802539e-09	-4.92949098e-09	1.28327990e-09	-6.21277088e-09
2017.5          	1.76695663e+00	8.83478329e-01	8.83478299e-01	-2.33145432e-01	4.14836123e+00	-4.38150666e+00	4.26493395e+00	1.48688861e-08	3.74588456e-09	-4.92891051e-09	1.28142931e-09	-6.21033981e-09
2017.75         	1.76658671e+00	8.83293372e-01	8.83293342e-01	-2.30456000e-01	4.15043250e+00	-4.38088850e+00	4.26566050e+00	1.48686014e-08	3.74377384e-09	-4.92838880e-09	1.27957944e-09	-6.20796824e-09
2018            	1.76620466e+00	8.83102344e-01	8.83102314e-01	-2.27570326e-01	4.15267860e+00	-4.38024893e+00	4.26646376e+00	1.48684940e-08	3.74169465e-09	-4.92792619e-09	1.27773156e-09	-6.20565775e-09
2018.25         	1.76576395e+00	8.82881990e-01	8.82881961e-01	-2.24489297e-01	4.15498273e+00	-4.37947203e+00	4.26722738e+00	1.48685635e-08	3.73964825e-09	-4.92752290e-09	1.27588680e-09	-6.20340970e-09
2018.5          	1.76531182e+00	8.82655923e-01	8.82655893e-01	-2.21218802e-01	4.15745469e+00	-4.37867350e+00	4.26806409e+00	1.48688093e-08	3.73763578e-09	-4.92717910e-09	1.27404624e-09	-6.20122533e-09
2018.75         	1.76484841e+00	8.82424222e-01	8.82424192e-01	-2.17741526e-01	4.16011585e+00	-4.37785737e+00	4.26898661e+00	1.48692304e-08	3.73565846e-09	-4.92689484e-09	1.27221104e-09	-6.19910588e-09
2019            	1.76435065e+00	8.82175338e-01	8.82175308e-01	-2.14080541e-01	4.16288470e+00	-4.37696524e+00	4.26992497e+00	1.48698264e-08	3.73371766e-09	-4.92667026e-09	1.27038252e-09	-6.19705279e-09
2019.25         	1.76383235e+00	8.81916188e-01	8.81916159e-01	-2.10230278e-01	4.16580049e+00	-4.37603077e+00	4.27091563e+00	1.48705963e-08	3.73181484e-09	-4.92650546e-09	1.26856211e-09	-6.19506757e-09
2019.5          	1.76334500e+00	8.81672514e-01	8.81672484e-01	-2.06195554e-01	4.16899012e+00	-4.37518567e+00	4.27208790e+00	1.48715385e-08	3.72995120e-09	-4.92640020e-09	1.26675110e-09	-6.19315130e-09
2019.75         	1.76281148e+00	8.81405754e-01	8.81405725e-01	-2.01996647e-01	4.17223733e+00	-4.37423398e+00	4.27323565e+00	1.48726511e-08	3.72812780e-09	-4.92635422e-09	1.26495069e-09	-6.19130491e-09
